Compañia,Descripcion
REPSOL,Repsol es una empresa comercializadora de luz y gas española considerada como uno de los principales referentes del sector energético a nivel mundial.
ENDESA,"Endesa es una de las principales empresas comercializadoras de España y tiene una importante presencia en el mercado energético nacional. Con un modelo de negocio que les ha permitido formar parte de todo el proceso de distribución y comercialización de energía eléctrica y gasística, se calcula que, a día de hoy, Endesa cuenta con más de 11 millones de clientes."
IBERDROLA,"Iberdrola es una compañía dedicada a la producción, distribución y comercialización de energía. Está considerada una de las compañías comercializadoras más importantes del sector energético, y sus orígenes se remontan a finales del siglo XIX."
NATURGY,"Naturgy es una importante empresa energética española con presencia internacional que ofrece suministro de luz y gas a empresas y particulares.
"
CEPSA,Cepsa es una de las compañías petrolíferas más importantes del mundo. Tiene presencia en los 5 continentes y casi un siglo de experiencia en el sector
ENERGIA XXI,"Energía XXI es una empresa comercializadora que opera en el mercado regulado. Ofrece las tarifas PVPC y TUR, además del bono social de luz."
EDP,"EDP es una compañía energética portuguesa que opera en todo el territorio de la Península Ibérica y tiene presencia en Latinoamérica, África y Asia."
CURENERGIA,"Curenergía es la comercializadora de último recurso del grupo Iberdrola. Ofrece las tarifas PVPC y TUR de luz y gas, así como el bono social eléctrico."
HOLALUZ,"Holaluz es una empresa energética española. Presente en el sector de las renovables, fue la primera comercializadora española en operar solo online."
BASER,"Baser es una empresa comercializadora de energía que opera en el mercado regulado. Ofrece las tarifas PVPC y TUR, así como el bono social eléctrico."
TOTALENERGIES,"TotalEnergies es un grupo empresarial de origen francés que opera en el sector energético y en el petroquímico. A nivel mundial, se trata de la cuarta compañía privada más importante del sector energético, y cuenta con presencia en más de 130 países de todo el mundo."
E-DISTRIBUCION,"
E-distribución es una compañía del grupo Endesa dedicada a la distribución y transporte de energía eléctrica a puntos de suministro de toda España."
SOM ENERGIA,"Som Energía es una cooperativa catalana del sector de las renovables. Presente en toda la geografía Española, cuenta con más de 100.000 clientes."
BUTIK,"Butik es una compañía española dedicada a la comercialización y suministro de luz y gas que ofrece también servicios de telefonía móvil e internet.
"
GAS & POWER,"Gas & Power es la comercializadora de referencia de Naturgy. Opera en el mercado regulado y ofrece las tarifas PVPC y TUR, además del bono social."
WOMBBAT,Wombbat es una empresa comercializadora española que ofrece tarifas de luz 100 % verde y de gas libre de emisiones a hogares y clientes particulares.
FENIE ENERGIA,"Feníe Energía es una compañía energética creada por expertos e instaladores eléctricos. Ofrece tarifas de luz y gas, así como asesoramiento energético."
LUCERA ENERGIA,Lucera Energía es una empresa del sector energético que ofrece tarifas de luz 100 % verde a precio de coste enfocadas en pequeños consumidores.
PODO,Podo es una compañía comercializadora española que ofrece tarifas de luz 100 % verde y tarifas de gas tanto para hogares como para negocios y pymes.
AUDAX RENOVABLES,Audax Renovables es una comercializadora que ofrece tarifas de luz y gas para hogares y empresas. También tiene gran presencia en el sector eólico.
FACTOR ENERGIA,Factor Energía es una comercializadora española que ofrece tarifas de electricidad sostenible y gas natural para clientes particulares y empresas.
DISA,El grupo Disa es una de las empresas petroleras con más antigüedad de España. Sus servicios incluyen tarifas de luz y gas para hogares y empresas.
PEPEENERGY,Pepeenergy es una compañía que ofrece una tarifa de luz indexada especialmente pensada para hogares y pequeños negocios con la energía a precio de coste. En esta página te revelamos todas sus características y repasamos en detalle el resto de servicios que ofrece a sus clientes. 
ALDRO ENERGIA,"Aldro Energía, ahora llamada Plenitude, es una empresa cántabra del sector energético que ofrece tarifas de luz y gas para empresas y particulares."
GANA ENERGIA,Gana Energía es una compañía comercializadora valenciana fundada en 2015 que ofrece tarifas de luz y gas para particulares y pequeños negocios.
CHC ENERGIA,CHC Energía es una empresa comercializadora española de electricidad y gas natural del mercado libre que opera a lo largo de todo el territorio nacional.
ENERGYA VM,Enérgya VM es una empresa comercializadora perteneciente al Grupo Villar Mir. Ofrece tarifas de luz 100 % verde y gas para empresas y particulares.
REGSITI,"Régsiti es una empresa comercializadora española que opera en el mercado regulado. Ofrece dos tarifas de luz, la PVPC y una tarifa con precio fijo."
ENERGYGO,"
EnergyGO es una empresa comercializadora que pertenece al grupo Yoigo. Ofrece tarifas de luz a precio de mercado para hogares y pequeños negocios."
GERSTERNOVA,Gesternova es una empresa energética que ofrece tarifas de luz 100 % verdes y servicios de representación para productores de energía renovable.
OVO ENERGY,"OVO Energy es una compañía comercializadora de energía eléctrica 100 % verde de origen británico. En su apuesta por las energías renovables, OVO Energy ofrece una tarifa de luz con precio de mercado orientada a clientes domésticos."
XENERA,Xenera es una compañía del sector energético que opera en toda la Península. Ofrece tarifas de luz y gas a precio de mercado para clientes domésticos.
ELECTRICA DE CADIZ,"
Eléctrica de Cádiz es una compañía energética española. Distribuye energía eléctrica en la provincia de Cádiz y ofrece tarifas de luz 100 % verde."
UNION FENOSA DISTRIBUCION,Unión Fenosa Distribución es una compañía distribuidora de luz. Opera en España y su red de transporte tiene más de 65.000 kilómetros de extensión.
ESFERA LUZ,Esfera Luz es una empresa del Grupo Nexus Energía que comercializa tarifas de luz 100 % verde y gas para clientes particulares y pequeños negocios.
UNIELECTRICA,Unieléctrica es una empresa energética cordobesa que opera en el mercado libre. Ofrece tarifas sostenibles de luz y gas para hogares y empresas.
ENELUZ,"
Eneluz es una empresa energética española. Ofrece tarifas de luz para particulares y empresas, además de diferentes servicios de mantenimiento."
CATGAS,Catgas es una compañía comercializadora de energía de origen catalán que ofrece tarifas de luz y gas para empresas y consumidores domésticos.
FC ENERGIA,FC Energía es una empresa comercializadora de tarifas de luz y gas basadas en energía sostenible. Actualmente forma parte del grupo Nexus Energía.
MASMOVIL ENERGIA,MásMóvil Energía es una empresa comercializadora de tarifas de luz 100 % verde para clientes particulares y empresas. Pertenece al grupo MásMóvil.
NEXUS ENERGIA,Nexus Energía es un grupo empresarial comercializador de tarifas de luz y gas que destaca por su actividad en el campo de las energías renovables.
SYDER,"
Syder es una comercializadora de luz 100 % verde. Fundada en Zaragoza en 2005, ofrece tarifas de luz para hogares, pymes y grandes empresas."
GOIENER,GoiEner es una cooperativa de origen vasco que opera desde el año 2012. Ofrece tarifas de luz 100 % verde y servicios de autoconsumo a sus socios.
AXPO IBERIA,"Axpo Iberia es una compañía del grupo suizo Axpo que ofrece tarifas de luz y gas para autónomos, negocios y grandes empresas en España y Portugal."
INTEGRA ENERGIA,"Integra Energía es una comercializadora española que ofrece tarifas de luz y gas para hogares y negocios, así como servicios de eficiencia energética.
"
IRIS ENERGIA,IRIS Energía es una compañía comercializadora de tarifas de luz y gas natural. Forma parte del grupo Audax y opera en el mercado libre energético.
ADS ENERGY,"ADS Energy es una empresa comercializadora de tarifas de luz y gas para distintos perfiles de consumo, desde clientes particulares a grandes empresas."
WATIUM,Watium es una empresa comercializadora de energía eléctrica que opera en el mercado libre español y ofrece tarifas de luz para hogares y empresas.
VIESGO DISTRIBUCION,Viesgo Distribución es una compañía española con más de un siglo de historia dedicada a la distribución de energía eléctrica en el norte de España.
ALCANZIA,Alcanzia es una compañía comercializadora de tarifas de luz y gas de Valencia que opera en todo el territorio español desde 2013.
COX ENERGY,COX Energy es una comercializadora de tarifas de luz 100 % verde y de servicios relacionados con la sostenibilidad y el autoconsumo.
ESCANDIANVA DE ELECTRICIDAD,Escandinava de Electricidad suministra energía 100 % verde y compensa los excedentes de las instalaciones de autoconsumo solar.
FOX ENERGIA,FOX energía suministra electricidad renovable. Proporciona asesoramiento energético y financiación de baterías con condensadores.
BASSOLS ENERGIA,"Bassols Energía ofrece tarifas de energía verde para consumo, autoconsumo con y sin excedentes, así como para vehículos eléctricos."
ACIS ENERGIA,"Acis Energía es una comercializadora de luz y gas enfocada en servicios para autoconsumo, eficiencia energética y movilidad sostenible.
"
ESTABANELL ENERGIA,Estabanell Energía es una empresa comercializadora que opera en la Península Ibérica y ofrece tarifas de luz a particulares y empresas.
ENERXIA GALEGA MAIS,Enerxía Galega Máis es una comercializadora gallega de tarifas de luz y gas cuyos servicios pueden contratarse en toda la península.
CYE ENERGIA,"CYE Energia es un suministrador de energía renovable para particulares y proyectos profesionales con un claro carácter técnico, por lo que ofrece servicios complementarios de asesoramiento, así como de instalaciones de autoconsumo."
SWAP ENERGIA,"Swap Energía ofrece tarifas de luz y gas personalizadas, asesoramiento y un software propio para optimizar costes en hogares y empresas."
ERES ENERGIA,La comercializadora Eres Energía contribuye al aprovechamiento de los excedentes en materia de autoconsumo y los almacena en una caja virtual.
FORTULUZ,"Fortuluz es una proveedora de energía verde y gas natural que permite calcular de forma online el ahorro en las facturas de sus clientes.
"
PEUSA,Peusa es una comercializadora de luz verde y de gas. Ofrece servicios de autoconsumo y movilidad sostenible para particulares y empresas.
ADURIZ ENERGIA,"Aduriz Energía es una comercializadora de electricidad 100 % renovable y de telecomunicaciones que opera en todo el territorio nacional. Apuesta por la innovación para aportar soluciones integrales a sus clientes. 
"
SOLELEC,Solelec es una comercializadora de electricidad renovable. Ofrece tarifas personalizadas y servicios de autoconsumo y movilidad sostenible.
LUMINA ENERGIA,Lúmina Energía es una comercializadora de luz verde con tarifas personalizadas. Ofrece soluciones de autoconsumo y eficiencia energética.
CREAENERGIA,CreaEnergia es una comercializadora de luz verde y gas natural con tarifas de energía a precio de coste. Ofrece soluciones de autoconsumo.
AB ENERGIA,"ab energía comercializa tarifas de luz y gas, además de instalaciones de autoconsumo, puntos de carga de vehículos eléctricos y aerotermia.
"
NABALIA ENERGIA,"Nabalia Energía comercializa todo tipo de tarifas de luz renovable y gas en España, Portugal e Italia. Ofrece también servicios de autoconsumo."
OPPIDUM ENERGIA,Oppidum Energía es una comercializadora de luz a precio de coste para particulares y empresas. También ofrece servicios de autoconsumo.