TASADORA,CODIGO HOMOLOGACION
"ARQUITASA SOCIEDAD DE TASACION, S.A.",4404
"AESVAL, LOGICA DE VALORACIONES, S.A.",4499
"AGRUPACION TECNICA DEL VALOR, S.A.",4633
"ALIA TASACIONES, S.A. ",4406
"ARCO VALORACIONES, S.A.",4416
"BARNA-TASA, S.A. ",4470
"CBRE VALUATION ADVISORY, S.A. ",4630
"COL.LECTIU ARQUITECTES TAXADORS, S.A ",4462
"COMPAÃ‘IA HISPANIA DE TASACIONES Y VALORACIONES, SA ",4368
"EUROVALORACIONES, S.A. ",4388
"GENERAL DE VALORACIONES, S.A. ",4363
"GESVALT SOCIEDAD DE TASACION, S.A. ",4455
"GLOVAL VALUATION, S.A ",4311
"GRUPO TASVALOR, S.A. ",4448
"INSTITUTO DE VALORACIONES, S.A ",4498
"JLL VALORACIONES, S.A ",4302
"KRATA, S.A ",4323
"LKS TASACIONES, S.A. ",4444
"RISC VALOR, S.A. ",4456
"SAVILLS AGUIRRE NEWMAN VALORAC. Y TASAC., S.A. ",4632
"SERVICIOS VASCOS DE TASACIONES, S.A. ",4307
"SOCIEDAD DE TASACION, S.A. ",4301
"TASACIONES ANDALUZAS, S.A. ",4358
"TASACIONES HIPOTECARIAS RENTA, S.A. ",4459
"TASALIA SOCIEDAD DE TASACION, S.A ",4383
"TASASUR SOCIEDAD DE TASACIONES, S.A. ",4494
"TASIBERICA, S.A. ",4304
"TECNICOS EN TASACION, S.A. (TECNITASA) ",4315
"TINSA, TASACIONES INMOBILIARIAS, S.A. ",4313
"UVE VALORACIONES, S.A. ",4631
"VALORACIONES MEDITERRANEO, S.A. ",4350
"ZEHAZKI, S.A.",4349